brand,parent_ecosystem,model_name,full_name,series,price_inr,price_raw,launch_status,sale_start_date,market,official_india_presence,brand_status,catalogue_url,product_url,specs_summary,scraped_at
Xiaomi,Xiaomi Corporation,Xiaomi 17T,Xiaomi 17T,Xiaomi Flagship,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731025
Xiaomi,Xiaomi Corporation,Xiaomi 17 Ultra,Xiaomi 17 Ultra,Xiaomi Flagship,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731085
Xiaomi,Xiaomi Corporation,Xiaomi 17,Xiaomi 17,Xiaomi Flagship,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731132
Xiaomi,Xiaomi Corporation,Xiaomi 17 Pro,Xiaomi 17 Pro,Xiaomi Flagship,89999.0,"₹89,999",available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731157
Xiaomi,Xiaomi Corporation,Xiaomi 14 Ultra,Xiaomi 14 Ultra,Xiaomi Flagship,99999.0,"₹99,999",available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731172
Xiaomi,Xiaomi Corporation,Xiaomi 14,Xiaomi 14,Xiaomi Flagship,69999.0,"₹69,999",available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731182
Xiaomi,Xiaomi Corporation,Xiaomi 14 Civi,Xiaomi 14 Civi,Xiaomi Flagship,39999.0,"₹39,999",available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731191
Xiaomi,Xiaomi Corporation,Xiaomi 13 Pro,Xiaomi 13 Pro,Xiaomi Flagship,74999.0,"₹74,999",available,,India,True,ACTIVE,https://www.mi.com/in/product-list/xiaomi/,,,2026-08-18T23:46:26.731199
Redmi,Xiaomi Corporation,REDMI Turbo 5,Redmi REDMI Turbo 5,Redmi Number Series,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/redmi/,,,2026-08-18T23:46:27.449627
Redmi,Xiaomi Corporation,Redmi Note 15 Pro+ 5G,Redmi Note 15 Pro+ 5G,Redmi Note Series,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/redmi/,,,2026-08-18T23:46:27.449706
Redmi,Xiaomi Corporation,Redmi Note 15 Pro 5G,Redmi Note 15 Pro 5G,Redmi Note Series,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/redmi/,,,2026-08-18T23:46:27.449746
Redmi,Xiaomi Corporation,Redmi Note 15 SE 5G,Redmi Note 15 SE 5G,Redmi Note Series,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/redmi/,,,2026-08-18T23:46:27.449778
Redmi,Xiaomi Corporation,Redmi A7 Pro 5G,Redmi A7 Pro 5G,Redmi A Series,,,available,,India,True,ACTIVE,https://www.mi.com/in/product-list/redmi/,,,2026-08-18T23:46:27.449808
